Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,10.336847,1,14.074209723107385,9.988765674202702,14.074209723107385,9.988765674202702,-9.234555120585242e-09,-0.1663565162646965
1,767.02576 / x2,3,10.969859866776961,7.484008440442246,10.969859866776961,7.484008440442246,0.2205700935329855,0.1261160490696417
2,15.881696 - sqrtabs(x0),4,9.19437954212275,5.549451703120722,9.19437954212275,5.549451703120722,0.34672142820685736,0.35200810923540715
3,13.447123 - (x0 / 12.571998),5,9.13881252815172,5.954216479071631,9.13881252815172,5.954216479071631,0.35066957276185406,0.30474500893022904
4,sqrtabs((x2 + x0) + -224.55661),6,8.81323196969911,5.7789067225161075,8.81323196969911,5.7789067225161075,0.3738027054822408,0.3252153736972585
5,sin(x0) + sqrtabs(x0 - 144.51326),7,8.735069825664146,5.201946289252752,8.735069825664146,5.201946289252752,0.37935627803050453,0.39258521526853263
6,sin(145.38797 + x0) + sqrtabs(145.38797 - x0),9,8.12406735374296,5.121669991568635,8.12406735374296,5.121669991568635,0.4227691935393848,0.40195882417671713
7,sin(171.93742 - x0) + sqrtabs((224.17282 - x0) - x2),11,7.822736850096973,5.256776497610449,7.822736850096973,5.256776497610449,0.44417931264070165,0.38618286557969017
8,sin(x0 - -0.84947556) + (sqrtabs(x2 - (230.50925 - x0)) + -0.40239286),13,7.778085935105784,5.176104969838829,7.778085935105784,5.176104969838829,0.44735184710494313,0.39560262425282255
9,sqrtabs(x2 + (x0 + -224.87846)) + (sin(x0 + -224.87846) + sin(x1)),14,7.620718553089492,6.881132559089362,7.620718553089492,6.881132559089362,0.4585331060577026,0.19651195539576383
10,sqrtabs(x2 + (x0 + -224.87846)) + (sin(x0 + sin(-61.91145)) + sin(x1)),15,7.437942210049258,6.594502531276858,7.437942210049258,6.594502531276858,0.4715197211731508,0.2299808354956997
11,(sin(sin(x1)) - sin(x0 - 171.93742)) + sqrtabs((x2 - sqrtabs(x0)) - (216.89673 - x0)),18,7.380491172491938,6.305483591366278,7.380491172491938,6.305483591366278,0.47560172927293975,0.2637286612915557
12,sin(x1) + (sin(x0) + (sin((sin(x2) - x0) - x0) + sqrtabs(x2 - (224.17282 - x0)))),20,7.029804616389746,6.338170507386361,7.029804616389746,6.338170507386361,0.5005186920182696,0.2599119136832819
13,sin(x1) + (sin(x0 - -0.8194573) + (sin((sin(x2) - x0) - x0) + sqrtabs(x2 + (x0 + -224.87846)))),22,6.629826474934288,5.964548712920955,6.629826474934288,5.964548712920955,0.5289379178944043,0.3035385467235069
14,sin(x1) + (sin(x0 - -0.8194573) + (sin((sin(0.84236693 - x0) - x0) - x0) + sqrtabs(x0 - (227.92413 - x2)))),24,6.446408993104931,6.477862390524803,6.446408993104931,6.477862390524803,0.5419700871693864,0.24360053513241675
15,sin(x1) + (sin(x0) + (sin(((sin(0.84236693 - x0) - x0) - x0) + sin(x2 - sin(x0))) + sqrtabs(x2 - (224.17282 - x0)))),28,6.382164540942939,6.886404096037767,6.382164540942939,6.886404096037767,0.546534780606474,0.19589641473027586
16,sin(x1) + (sin(sqrtabs(sin(x2)) + x0) + (sin(((sin(x2) - x0) - x0) + sin(x0 - 224.17282)) + sqrtabs(x0 - (227.92413 - x2)))),29,6.328915575130915,6.275200808088902,6.328915575130915,6.275200808088902,0.5503182233255581,0.26726468593746555
17,sin(x1) + (sin(x0 - -0.8194573) + (sin(((sin(0.84236693 - x0) - x0) - x0) + sin(x2)) + sqrtabs(x2 - (224.17282 - (x0 + sin(x1)))))),30,6.271811829741987,6.232798768754364,6.271811829741987,6.232798768754364,0.554375555640459,0.27221583771074986
18,sin(x1) + (sin(x0 - -0.8194573) + (sin(((sin(0.84236693 - x0) - x0) - x0) + sin(sin(x2))) + sqrtabs(x2 - (224.17282 - (x0 + sin(-0.9604635)))))),31,6.2322955510533085,6.311694134473435,6.2322955510533085,6.311694134473435,0.5571832641961099,0.2630034758523494
19,sin(x1) + (sin(sqrtabs(sin(x2)) + x0) + (sin(((sin(0.84236693 - x0) - x0) - x0) + sin(x2 - sin(x2))) + sqrtabs(x0 - (227.92413 - x2)))),32,6.085241190935802,6.093224759800775,6.085241190935802,6.093224759800775,0.567631762859168,0.288513452466559
20,sin(x1) + (sin(sqrtabs(-1.3825533) + x0) + (sin(((sin(0.84236693 - x0) - x0) - x0) + sin(x2 - sin(x0))) + sqrtabs(x2 - (224.17282 - (x0 + -1.9568524))))),33,5.9492113227153816,6.952013515262026,5.9492113227153816,6.952013515262026,0.5772969499036142,0.18823541074474937
21,sin(x1) + (sin(sqrtabs(-224.87846 - (x0 - x2)) + x0) + (sin(((sin(0.84236693 - x0) - x0) - x0) + sin(x2 - sin(x2))) + sqrtabs(x2 - (224.17282 - (x0 + -1.3825533))))),37,5.900053817320606,5.958722253027808,5.900053817320606,5.958722253027808,0.5807896863922581,0.3042188839828618
