id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,815.615141955845,"t[0]",815.615141955845,1,8477377.769865384,8477377.769865384,1.3471159567015234e7,8477377.769865384,8.881784197001252e-16,8.881784197001252e-16,-3.6412305749466967e-4,8477377.769865384,8477377.769865384,1.3471159567015234e7
1,0,(x1 + 813.6435331230259),"(x[:, 1] + t[0])",813.6435331230259,3,8476678.4060544,8476678.4060544,1.346970510171224e7,8476678.4060544,8.249765788170826e-5,8.249765788170826e-5,-2.5611491609400794e-4,8476681.701891266,8476681.701891266,1.3469708397549106e7
2,0,(583.6531270886188 * Sqrt(x1)),"(t[0] * np.sqrt(x[:, 1]))",583.6531270886188,4,8470975.362854255,8470975.362854255,1.324834626390615e7,8470975.362854255,7.552343643214554e-4,7.552343643214554e-4,1.6181923588410307e-2,8470980.9080317,8470980.9080317,1.3248351809083594e7
3,0,(Sin(Exp(x0)) * 1058.553393266825),"(np.sin(np.exp(x[:, 0])) * t[0])",1058.553393266825,5,8372799.958643573,8372799.958643573,1.3384010749997694e7,8372799.958643573,1.2336103693946776e-2,1.2336103693946776e-2,6.1075210112694345e-3,8372808.005833136,8372808.005833136,1.3384018797187256e7
4,0,(Exp(Sin(Exp(x0))) * 494.25267362982623),"(np.exp(np.sin(np.exp(x[:, 0]))) * t[0])",494.25267362982623,6,8147502.887551567,8147502.887551567,1.308888771468712e7,8147502.887551567,3.891237258370572e-2,3.891237258370572e-2,2.80232658989934e-2,8147512.544179041,8147512.544179041,1.3088897371314595e7
5,0,(561.2621353898408 * Exp(Sin((x1 ^ x1)))),"(t[0] * np.exp(np.sin(x[:, 1] ** x[:, 1])))",561.2621353898408,7,7993489.440633444,7993489.440633444,1.2854065520939708e7,7993489.440633444,5.707995353846684e-2,5.707995353846684e-2,4.546108903173618e-2,7993501.982949729,7993501.982949729,1.2854078063255992e7
6,0,((Sin(Sqrt(Exp(x0))) * -1498.8173222364317) + 1468.0147291937826),"((np.sin(np.sqrt(np.exp(x[:, 0]))) * t[0]) + t[1])",-1498.8173222364317;1468.0147291937826,8,7281122.934888173,7281122.934888173,1.1731791761722783e7,7281122.934888173,0.14111142235863983,0.14111142235863983,0.12880078962576802,7281138.502169365,7281138.502169365,1.1731807329003975e7
7,0,((((x0 * -443.0882752175711) + -568.7257469212407) * Sin(Sqrt(Exp(x1)))) + 1449.6268386655431),"((((x[:, 0] * t[0]) + t[1]) * np.sin(np.sqrt(np.exp(x[:, 1])))) + t[2])",-443.0882752175711;-568.7257469212407;1449.6268386655431,12,7057118.859312444,7057118.859312444,1.115893039122508e7,7057118.859312444,0.16753516819806646,0.16753516819806646,0.17134129697263656,7057143.812610944,7057143.812610944,1.1158955344523579e7
8,0,(((-323.6825706837492 + (Sqrt(x0) * -912.7776000551404)) * Sin(Sqrt(Exp(x1)))) + 1433.5293251294404),"(((t[0] + (np.sqrt(x[:, 0]) * t[1])) * np.sin(np.sqrt(np.exp(x[:, 1])))) + t[2])",-323.6825706837492;-912.7776000551404;1433.5293251294404,13,7041195.733328649,7041195.733328649,1.1172297438343301e7,7041195.733328649,0.1694134761390429,0.1694134761390429,0.1703486642076717,7041222.76606869,7041222.76606869,1.1172324471083343e7
9,0,(((((x0 * -805.6537228640449) + 256.46999341890483) + x2) * Sin(Sqrt(Exp(x1)))) + (x0 * 627.3608959740118)),"(((((x[:, 0] * t[0]) + t[1]) + x[:, 2]) * np.sin(np.sqrt(np.exp(x[:, 1])))) + (x[:, 0] * t[2]))",-805.6537228640449;256.46999341890483;627.3608959740118,16,6823958.897204548,6823958.897204548,1.0697510755122896e7,6823958.897204548,0.19503895161287566,0.19503895161287566,0.20560617575568418,6823994.052797786,6823994.052797786,1.0697545910716133e7
10,0,((((Sin(Exp(Sqrt((x1 + x0)))) * 1543.9326938261142) + -1568.7575445883963) * Sin(Sqrt(Exp(x1)))) + 1503.7327904553904),"((((np.sin(np.exp(np.sqrt((x[:, 1] + x[:, 0])))) * t[0]) + t[1]) * np.sin(np.sqrt(np.exp(x[:, 1])))) + t[2])",1543.9326938261142;-1568.7575445883963;1503.7327904553904,17,6413882.967315255,6413882.967315255,1.0059021615281006e7,6413882.967315255,0.24341192035646453,0.24341192035646453,0.2530201808591205,6413918.317821464,6413918.317821464,1.0059056965787215e7
11,0,((2124.3401244965557 / (((x0 ^ x1) ^ x1) + -16618.769230981656)) * (x2 + 11937.241008774674)),"((t[0] / (x[:, 0] ** x[:, 1] ** x[:, 1] + t[1])) * (x[:, 2] + t[2]))",2124.3401244965557;-16618.769230981656;11937.241008774674,13,5001792.0619932925,5001792.0619932925,7229506.399725087,9135117.201872744,0.40998358245008193,0.40998358245008193,0.4631391014469338,5001819.094733334,5001819.094733334,7229533.432465129
12,0,((-163.31149317343622 + (x0 - (x1 + 162.9866351879866))) * (171.5018510858251 / (((x0 ^ x1) ^ x1) + -366.6295632492995))),"((t[0] + (x[:, 0] - (x[:, 1] + t[1]))) * (t[2] / (x[:, 0] ** x[:, 1] ** x[:, 1] + t[3])))",-163.31149317343622;162.9866351879866;171.5018510858251;-366.6295632492995,17,9108514.476368252,9108514.476368252,1.4245380780353492e7,9062179.354374766,-7.444952007994354e-2,-7.444952007994354e-2,-5.785754975775026e-2,9108549.826874461,9108549.826874461,1.4245416130859701e7
13,0,(((-0.6531030560117435 + (x1 * -1.9100868607564063)) + (x0 - (x1 + 0.9329394199918164))) * (-1.0308171720024155 / (((x0 ^ x1) ^ x1) + 14.492877176087319))),"(((t[0] + (x[:, 1] * t[1])) + (x[:, 0] - (x[:, 1] + t[2]))) * (t[3] / (x[:, 0] ** x[:, 1] ** x[:, 1] + t[4])))",-0.6531030560117435;-1.9100868607564063;0.9329394199918164;-1.0308171720024155;14.492877176087319,21,9142497.075548012,9142497.075548012,1.425048187718876e7,9125823.831858428,-7.845814162569531e-2,-7.845814162569531e-2,-5.8236355623485725e-2,9142540.743820388,9142540.743820388,1.4250525545461137e7
14,0,((((x1 * 3481677.1530675828) + Sin(x2)) + (1135087.909113707 + (1135087.5767877465 - x1))) * ((((-57497.049366923224 - (x0 * 18361.470160094963)) + -57496.720242513926) - x2) / (((x0 ^ x1) ^ x1) + -2.7347712507035985e9))),"((((x[:, 1] * t[0]) + np.sin(x[:, 2])) + (t[1] + (t[2] - x[:, 1]))) * ((((t[3] - (x[:, 0] * t[4])) + t[5]) - x[:, 2]) / (x[:, 0] ** x[:, 1] ** x[:, 1] + t[6])))",3481677.1530675828;1135087.909113707;1135087.5767877465;-57497.049366923224;18361.470160094963;-57496.720242513926;-2.7347712507035985e9,30,8564649.598271819,8564649.598271819,1.3566766837728618e7,9130591.942264808,-1.0294672571588226e-2,-1.0294672571588226e-2,-7.4638892691056835e-3,8564718.675824609,8564718.675824609,1.3566835915281408e7
15,0,((-1.8293167790834002 + (x0 - (x1 + 3.252677756392112))) * ((-0.8934623866676545 - x2) / (((x0 ^ x1) ^ x1) + (Exp((((x2 + -1.6293256133150682) * 1.73972388089039e-2) * Exp(Sin(Sin(x2))))) + -0.7831138266505786)))),"((t[0] + (x[:, 0] - (x[:, 1] + t[1]))) * ((t[2] - x[:, 2]) / (x[:, 0] ** x[:, 1] ** x[:, 1] + (np.exp((((x[:, 2] + t[3]) * t[4]) * np.exp(np.sin(np.sin(x[:, 2]))))) + t[5]))))",-1.8293167790834002;3.252677756392112;-0.8934623866676545;-1.6293256133150682;1.73972388089039e-2;-0.7831138266505786,31,9114592.395774618,9114592.395774618,1.4213814737377664e7,9142605.829652997,-7.516647756035333e-2,-7.516647756035333e-2,-5.551346521604317e-2,9114666.730528075,9114666.730528075,1.4213889072131122e7
16,0,(-0.7221672487598927 * (((x0 + 0.13061170924372745) - x2) / (((((0.19248835528664596 - x1) + ((0.6876520383793739 - x1) + x1)) + Sin((Sin(x1) * -0.9003236984643533))) + (((x0 ^ x1) ^ x1) + (x1 ^ Sqrt(x2)))) + x0))),"(t[0] * (((x[:, 0] + t[1]) - x[:, 2]) / (((((t[2] - x[:, 1]) + ((t[3] - x[:, 1]) + x[:, 1])) + np.sin((np.sin(x[:, 1]) * t[4]))) + (x[:, 0] ** x[:, 1] ** x[:, 1] + x[:, 1] ** np.sqrt(x[:, 2]))) + x[:, 0])))",-0.7221672487598927;0.13061170924372745;0.19248835528664596;0.6876520383793739;-0.9003236984643533,36,9140513.669923946,9140513.669923946,1.4250336248041473e7,9140513.669923946,-7.822417710530827e-2,-7.822417710530827e-2,-5.8225541248264845e-2,9140599.994153768,9140599.994153768,1.4250422572271295e7
